Date,Open_dia,High_dia,Low_dia,Close_dia,Adj Close_dia,Volume_dia,Target
2011-01-03,116.410004,116.860001,116.360001,116.410004,93.69735,9108900,0.006723424190038685
2011-01-04,116.709999,116.730003,116.110001,116.639999,93.882401,9775600,0.0019730387639960156
2011-01-05,116.459999,117.190002,116.300003,117.040001,94.204399,7567800,0.003423933147606917
2011-01-06,117.139999,117.190002,116.5,116.779999,93.995064,7161600,-0.0022246087528019487
2011-01-07,116.910004,117.099998,115.82,116.57,93.82605699999999,9249800,-0.0017996596412030996
2011-01-10,116.160004,116.339996,115.559998,116.199997,93.528275,6166700,-0.0031788136156221114
2011-01-11,116.629997,116.860001,116.16999799999999,116.550003,93.80998199999999,5122600,0.003007471264493411
2011-01-12,117.150002,117.650002,117.010002,117.400002,94.494148,5255800,0.007266638395639902
2011-01-13,117.370003,117.379997,116.82,117.199997,94.333153,6056800,-0.001705209343758618
2011-01-14,116.879997,117.769997,116.809998,117.690002,94.727554,5885800,0.004172221487837469
2011-01-18,117.760002,118.43,117.739998,118.230003,95.162201,4665700,0.00457789583307644
2011-01-19,118.349998,118.489998,117.860001,118.160004,95.105835,9080300,-0.0005924904974472511
2011-01-20,117.839996,118.339996,117.33000200000001,118.120003,95.073631,10935600,-0.0003386695838942799
2011-01-21,118.709999,118.800003,117.970001,118.459999,95.46371500000001,9663000,0.004094573092215725
2011-01-24,118.360001,119.58000200000001,118.339996,119.559998,96.350143,12299400,0.009242651387251222
2011-01-25,119.300003,119.589996,118.709999,119.489998,96.29373199999999,10474000,-0.0005856506116517224
2011-01-26,119.550003,119.940002,119.339996,119.610001,96.390472,9154100,0.0010041301375007805
2011-01-27,119.620003,119.93,119.449997,119.639999,96.414604,7393200,0.00025032536099800495
2011-01-28,119.660004,119.860001,117.760002,118.019997,95.109131,17156100,-0.013632704254837869
2011-01-31,118.25,118.650002,117.879997,118.599998,95.57650799999999,8965000,0.004902077979101804
2011-02-01,119.160004,120.230003,119.08000200000001,120.089996,96.777283,7626900,0.012485229346189008
2011-02-02,119.889999,120.32,119.889999,120.099998,96.785362,4231200,8.3476850656794e-05
2011-02-03,120.029999,120.57,119.559998,120.370003,97.002922,6338100,0.0022453379214937286
2011-02-04,120.370003,120.690002,120.019997,120.690002,97.260788,5191300,0.0026548051764585523
2011-02-07,120.879997,121.650002,120.849998,121.349998,97.79265600000001,7317100,0.005453575259212862
2011-02-08,121.449997,122.220001,121.33000200000001,122.139999,98.42930600000001,6032000,0.006489102723652884
2011-02-09,122.110001,122.400002,121.75,122.279999,98.542107,7682100,0.0011453541467094652
2011-02-10,121.769997,122.25,121.43,122.16999799999999,98.453476,7202200,-0.0008998273426295
2011-02-11,121.82,122.760002,121.709999,122.650002,98.84027900000001,6887200,0.003921092135835913
2011-02-14,122.489998,122.709999,122.300003,122.610001,98.808022,4093900,-0.00032640807052874976
2011-02-15,122.339996,122.370003,121.879997,122.199997,98.477661,4854700,-0.003349065211021518
2011-02-16,122.489998,123.059998,122.370003,122.879997,99.025627,5680000,0.005548944643642528
2011-02-17,122.650002,123.339996,122.57,123.160004,99.251305,4856500,0.0022763928731217575
2011-02-18,122.970001,123.639999,122.82,123.599998,99.849098,6320900,0.006004958175228836
2011-02-22,122.870003,123.279999,121.489998,121.889999,98.467636,9844300,-0.013932100611037335
2011-02-23,121.66999799999999,121.769997,120.360001,120.849998,97.627563,14461100,-0.008568064323299929
2011-02-24,120.769997,121.040001,119.559998,120.41999799999999,97.280151,12247300,-0.003564890899312445
2011-02-25,120.940002,121.33000200000001,120.739998,121.139999,97.861816,5649800,0.005961472374169219
2011-02-28,121.5,122.18,121.440002,122.150002,98.67774200000001,5759600,0.008302966545175039
2011-03-01,122.400002,122.480003,120.370003,120.370003,97.239784,9666700,-0.014679481219038948
2011-03-02,120.25,120.980003,120.0,120.449997,97.30439,8298400,0.0006641782279741548
2011-03-03,121.440002,122.660004,121.43,122.360001,98.847374,7297200,0.015732877395143063
2011-03-04,122.43,122.529999,120.599998,121.470001,98.128387,10366700,-0.007300291056148822
2011-03-07,121.769997,122.260002,120.209999,120.709999,97.51443499999999,8355500,-0.006276274376976865
2011-03-08,120.870003,122.389999,120.58000200000001,121.989998,98.548477,8009200,0.010548161067749362
2011-03-09,121.870003,122.459999,121.449997,122.010002,98.56462900000001,7819900,0.0001638856021690671
2011-03-10,120.949997,121.050003,119.620003,119.730003,96.72274,15698000,-0.018863929894305187
2011-03-11,119.269997,120.839996,119.220001,120.41999799999999,97.280151,10479900,0.005746435334089917
2011-03-14,119.769997,120.110001,118.91999799999999,119.849998,96.819702,8026700,-0.004744463806706456
2011-03-15,117.099998,119.129997,116.91999799999999,118.43,95.672562,14786600,-0.011918957744111225
2011-03-16,117.989998,118.209999,115.510002,116.160004,93.838776,16469000,-0.019353388104336844
2011-03-17,117.449997,117.980003,116.910004,117.690002,95.074776,7902300,0.013085536994946523
2011-03-18,118.83000200000001,119.010002,118.0,118.269997,95.72711899999999,10498900,0.006837935669537387
