Date,Open_qqq,High_qqq,Low_qqq,Close_qqq,Adj Close_qqq,Volume_qqq,prev_adj_Close_qqq,Target
2014-01-02,87.550003,87.58000200000001,87.019997,87.269997,81.84494000000001,29177500,82.492058,-0.007875540537028769
2014-01-03,87.269997,87.349998,86.620003,86.639999,81.254097,35723700,81.84494000000001,-0.007245236949053435
2014-01-06,86.660004,86.760002,86.0,86.32,80.953987,32073100,81.254097,-0.0037003130181032517
2014-01-07,86.720001,87.25,86.559998,87.120003,81.704262,25860600,80.953987,0.0092252354321527
2014-01-08,87.139999,87.550003,86.949997,87.309998,81.882462,27197400,81.704262,0.00217866176581083
2014-01-09,87.629997,87.639999,86.720001,87.019997,81.610497,23674700,81.882462,-0.0033269353312475047
2014-01-10,87.230003,87.400002,86.58000200000001,87.300003,81.873077,38008900,81.610497,0.0032123132541244104
2014-01-13,87.18,87.480003,85.68,86.010002,80.66328399999999,48842300,81.873077,-0.014886703931662026
2014-01-14,86.300003,87.720001,86.300003,87.650002,82.201324,37178900,80.66328399999999,0.01888790626334913
2014-01-15,88.029999,88.540001,87.940002,88.370003,82.876579,39835600,82.201324,0.008181092126493539
2014-01-16,88.300003,88.510002,88.160004,88.379997,82.885925,31630100,82.876579,0.00011276374070590123
2014-01-17,88.110001,88.370003,87.66999799999999,87.879997,82.41703000000001,36895800,82.885925,-0.005673174537155212
2014-01-21,88.440002,88.589996,87.809998,88.550003,83.045387,26412700,82.41703000000001,0.007595199345710846
2014-01-22,88.779999,89.0,88.519997,88.779999,83.26104699999999,29376900,83.045387,0.0025935270896884077
2014-01-23,88.510002,88.519997,87.860001,88.480003,82.979729,35011900,83.26104699999999,-0.003384467701624594
2014-01-24,88.050003,88.18,86.709999,86.739998,81.34790799999999,63974600,82.979729,-0.019861231759607634
2014-01-27,86.739998,86.889999,85.25,85.900002,80.560135,63519300,81.34790799999999,-0.009731193114073555
2014-01-28,85.5,85.940002,85.309998,85.849998,80.513245,44378800,80.560135,-0.0005822191267679244
2014-01-29,85.110001,85.739998,84.760002,84.93,79.650406,51939300,80.513245,-0.010774571407990763
2014-01-30,85.970001,86.800003,85.879997,86.5,81.122803,65833600,79.650406,0.018316959349683692
2014-01-31,85.540001,86.68,85.449997,86.269997,80.907097,45187000,81.122803,-0.002662547189514086
2014-02-03,86.110001,86.5,84.07,84.290001,79.05019399999999,65596900,80.907097,-0.023218528008509765
2014-02-04,84.720001,85.25,84.459999,84.910004,79.63166,37675500,79.05019399999999,0.007328734671321335
2014-02-05,84.629997,84.989998,83.739998,84.690002,79.42532299999999,41721800,79.63166,-0.002594505589808449
2014-02-06,84.940002,85.879997,84.91999799999999,85.769997,80.438202,32308600,79.42532299999999,0.012671965714060818
2014-02-07,86.25,87.360001,86.0,87.300003,81.873077,38359400,80.438202,0.01768099406570034
2014-02-10,87.269997,87.839996,87.209999,87.800003,82.342003,30205400,81.873077,0.005711135354705021
2014-02-11,87.989998,88.970001,87.889999,88.800003,83.279839,38635500,82.342003,0.011325149056176542
2014-02-12,88.980003,89.16999799999999,88.699997,88.970001,83.439262,32507200,83.279839,0.0019124749070194014
2014-02-13,88.32,89.699997,88.300003,89.629997,84.058235,40454500,83.439262,0.0073908664749691155
2014-02-14,89.599998,90.010002,89.33000200000001,89.809998,84.227051,33212400,84.058235,0.002006307986160749
2014-02-18,89.959999,90.41999799999999,89.739998,90.25,84.639687,29546600,84.227051,0.004887129652306754
2014-02-19,90.08000200000001,90.290001,89.449997,89.629997,84.058235,41749900,84.639687,-0.006893437638467503
2014-02-20,89.690002,90.220001,89.309998,90.050003,84.45213299999999,41814800,84.058235,0.004675068034126539
2014-02-21,90.339996,90.470001,89.82,89.93,84.339584,31192200,84.45213299999999,-0.001333584593847803
2014-02-24,90.139999,90.82,90.040001,90.410004,84.789757,31500400,84.339584,0.005323429517966716
2014-02-25,90.540001,90.720001,90.019997,90.309998,84.695953,26771700,84.789757,-0.00110692529273404
2014-02-26,90.550003,90.839996,89.870003,90.230003,84.620941,42953700,84.695953,-0.000886054582451834
2014-02-27,89.870003,90.529999,89.730003,90.440002,85.169952,28742400,84.620941,0.0064669300414852415
2014-02-28,90.41999799999999,90.959999,89.540001,90.339996,85.07576800000001,48609800,85.169952,-0.0011064478990547855
2014-03-03,89.489998,89.910004,88.870003,89.66999799999999,84.444817,38885700,85.07576800000001,-0.007443979898520858
2014-03-04,90.650002,90.980003,90.559998,90.809998,85.518387,33189000,84.444817,0.01263313767726082
2014-03-05,90.959999,91.220001,90.769997,91.059998,85.75383000000001,27203300,85.518387,0.0027493443178512322
2014-03-06,91.269997,91.339996,90.650002,90.980003,85.678497,24063900,85.75383000000001,-0.0008788658028189289
2014-03-07,91.269997,91.360001,90.07,90.529999,85.254715,31167800,85.678497,-0.0049584614167352825
2014-03-10,90.480003,90.660004,90.029999,90.610001,85.330063,18131700,85.254715,0.0008834083062234654
2014-03-11,90.83000200000001,91.059998,89.949997,90.220001,84.962799,27484300,85.330063,-0.004313328992100018
2014-03-12,89.809998,90.610001,89.480003,90.559998,85.28295899999999,27977200,84.962799,0.0037611554165470906
2014-03-13,90.900002,90.93,88.870003,89.279999,84.07755300000001,48542000,85.28295899999999,-0.01423503437258411
2014-03-14,88.989998,89.379997,88.629997,88.66999799999999,83.503105,38732300,84.07755300000001,-0.006855806115990681
2014-03-17,89.239998,89.910004,89.190002,89.449997,84.237648,28467200,83.503105,0.008758130413839105
2014-03-18,89.559998,90.639999,89.529999,90.529999,85.254715,31250200,84.237648,0.012001475344065149
2014-03-19,90.559998,90.660004,89.449997,90.040001,84.79325899999999,40869400,85.254715,-0.00542737583848929
2014-03-20,89.760002,90.559998,89.58000200000001,90.290001,85.02870899999999,31634500,84.79325899999999,0.0027729056922094486
2014-03-21,90.599998,90.650002,88.83000200000001,89.0,84.00554699999999,62754000,85.02870899999999,-0.01210612002847089
2014-03-24,89.32,89.389999,87.410004,88.220001,83.269295,77735300,84.00554699999999,-0.00880295859994007
2014-03-25,88.68,89.25,87.769997,88.510002,83.54303,41723300,83.269295,0.0032819546841649228
2014-03-26,88.949997,89.150002,87.360001,87.370003,82.467026,40930400,83.54303,-0.012963299864689581
2014-03-27,87.25,87.639999,86.400002,86.879997,82.004501,64784500,82.467026,-0.005624392595131589
2014-03-28,87.160004,88.010002,86.809998,87.050003,82.164963,39895100,82.004501,0.001954834318016907
2014-03-31,87.730003,88.260002,87.620003,87.66999799999999,82.75018299999999,33924300,82.164963,0.00709725541533146
2014-04-01,88.099998,89.269997,87.709999,89.209999,84.203751,38683800,82.75018299999999,0.01741324321451465
2014-04-02,89.589996,89.68,89.040001,89.440002,84.420845,34631600,84.203751,0.002574880831081927
2014-04-03,89.529999,89.68,88.220001,88.730003,83.750679,30319100,84.420845,-0.007970071645688748
2014-04-04,89.32,89.410004,86.139999,86.370003,81.52313199999999,131213200,83.750679,-0.026957469938930778
2014-04-07,85.83000200000001,86.629997,84.949997,85.550003,80.749153,83995800,81.52313199999999,-0.009539335312398478
2014-04-08,85.650002,86.459999,85.349998,86.339996,81.494812,51495700,80.749153,0.009191888895274225
2014-04-09,86.660004,87.870003,86.43,87.82,82.891762,45685200,81.494812,0.016996322686270382
2014-04-10,87.879997,87.879997,84.860001,85.099998,80.324402,73659600,82.891762,-0.03146222424668288
2014-04-11,84.339996,85.440002,83.910004,84.110001,79.389946,93657400,80.324402,-0.011701724668160551
2014-04-14,84.849998,85.220001,83.989998,84.769997,80.012917,46500700,79.389946,0.007816348589845923
2014-04-15,85.08000200000001,85.540001,83.279999,85.050003,80.277222,84631500,80.012917,0.0032978353027965923
2014-04-16,85.790001,86.18,85.089996,86.18,81.343788,46970900,80.277222,0.013198549905002466
2014-04-17,85.849998,86.629997,85.629997,86.199997,81.36267099999999,53719500,81.343788,0.00023211125361388696
2014-04-21,86.400002,86.839996,86.0,86.839996,81.966759,25947900,81.36267099999999,0.007397206425951097
2014-04-22,87.139999,87.75,86.989998,87.529999,82.61801899999999,38593400,81.966759,0.007914017408361396
2014-04-23,87.529999,87.559998,86.709999,86.760002,81.891243,34376700,82.61801899999999,-0.008835742370519206
