Date,Open_dia,High_dia,Low_dia,Close_dia,Adj Close_dia,Volume_dia,prev_adj_Close_dia,Target
2014-01-02,164.78999299999998,165.009995,163.83999599999999,164.110001,142.15823400000002,9291100,143.336273,-0.008252667964673499
2014-01-03,164.399994,164.869995,164.03999299999998,164.389999,142.400772,6127600,142.15823400000002,0.0017046591646572296
2014-01-06,164.990005,165.059998,163.71000700000002,163.889999,141.967697,7446800,142.400772,-0.003045874504572943
2014-01-07,164.66000400000001,165.28999299999998,164.520004,164.970001,142.903168,5387200,141.967697,0.006567708232358527
2014-01-08,164.699997,164.830002,163.91000400000001,164.350006,142.366135,9461800,142.903168,-0.0037650993553528522
2014-01-09,164.949997,164.990005,163.520004,164.190002,142.227463,8212900,142.366135,-0.0009745265666500913
2014-01-10,164.559998,164.690002,163.520004,164.179993,142.218918,7497200,142.227463,-6.0081622219598785e-05
2014-01-13,163.899994,164.279999,162.139999,162.240005,140.538406,10676100,142.218918,-0.011886742762026614
2014-01-14,162.740005,163.470001,162.369995,163.449997,141.586502,7335400,140.538406,0.007430048124128064
2014-01-15,163.66000400000001,164.800003,163.58999599999999,164.570007,142.55664099999998,7780800,141.586502,0.006828549578772325
2014-01-16,164.220001,164.330002,163.520004,163.979996,142.045609,5170900,142.55664099999998,-0.003591205264336317
2014-01-17,163.78999299999998,164.58999599999999,163.610001,164.080002,142.247696,8013200,142.045609,0.0014216798671196074
2014-01-21,165.029999,165.050003,162.78999299999998,163.729996,141.944168,9675200,142.247696,-0.0021360788527875485
2014-01-22,163.759995,163.800003,162.990005,163.470001,141.718781,5418100,141.944168,-0.0015891186933316703
2014-01-23,162.429993,162.429993,161.070007,161.71000700000002,140.192993,9456000,141.718781,-0.010824683743074992
2014-01-24,160.71000700000002,160.889999,158.479996,158.479996,137.3927,14663200,140.192993,-0.020176745921459016
2014-01-27,158.71000700000002,159.110001,157.509995,158.020004,136.993942,14215300,137.3927,-0.0029065429557268985
2014-01-28,158.470001,159.169998,158.279999,158.940002,137.791519,8308000,136.993942,0.005805105094775165
2014-01-29,157.66000400000001,158.25,156.75,157.100006,136.196381,14271200,137.791519,-0.011643988823514917
2014-01-30,158.300003,158.770004,157.369995,158.169998,137.124023,7864700,136.196381,0.006787971540364701
2014-01-31,156.229996,157.699997,155.850006,156.75,135.892899,10693100,137.124023,-0.009018725547655926
2014-02-03,156.570007,156.759995,153.25,153.529999,133.10141000000002,18172800,135.892899,-0.020755749252655775
