Date,DIA,SPY,QQQ,DIA_MLP_Pred,SPY_MLP_Pred,QQQ_MLP_Pred,Risk_free
2011-01-03,,,,,,,
2011-01-04,0.001973038763996016,-0.0005512139196719447,-0.0007236621900030826,,,,
2011-01-05,0.0034239331476069172,0.005183997676390106,0.008467608351415024,,,,
2011-01-06,-0.0022246087528019487,-0.0019603791281124217,0.003224383159547539,,,,
2011-01-07,-0.0017996596412030996,-0.0019644477359417323,-0.0008946634634767748,,,,
2011-01-10,-0.0031788136156221114,-0.0012591708123359526,0.00375180671744646,,,,
2011-01-11,0.003007471264493411,0.00353761738301106,0.0014254671447453404,,,,
2011-01-12,0.007266638395639902,0.008984093824943251,0.00709695627829543,,,,
2011-01-13,-0.001705209343758618,-0.0016345498822811775,0.00035363433701496305,,,,
2011-01-14,0.004172221487837469,0.007218356074680798,0.007395799057133613,,,,
2011-01-18,0.00457789583307644,0.0017000944503067215,0.002803142046297502,,,,
2011-01-19,-0.0005924904974472511,-0.009853839709131227,-0.011436760089318376,,,,
2011-01-20,-0.00033866958389427987,-0.0013264954590734845,-0.007103629735115913,,,,
2011-01-21,0.004094573092215725,0.002261884643217193,-0.007693138752142836,,,,
2011-01-24,0.009242651387251222,0.005670467277142599,0.01373452643536188,,,,
2011-01-25,-0.0005856506116517224,0.0005420154719537607,0.0014160526354212164,,,,
2011-01-26,0.0010041301375007805,0.003863543323904928,0.005293045178429878,,,,
2011-01-27,0.00025032536099800495,0.0024647605859646764,0.006139692218872561,,,,
2011-01-28,-0.013632704254837869,-0.017617280532424395,-0.025685363922284044,,,,
2011-01-31,0.004902077979101804,0.007488384758693733,0.00483313422490106,,,,
2011-02-01,0.012485229346189008,0.015881761916550552,0.018576254046881683,,,,
2011-02-02,8.3476850656794e-05,-0.0019137132061386453,-0.0015787854018123324,,,,
2011-02-03,0.002245337921493729,0.0022197321082204624,0.0017543506398207676,,,,
2011-02-04,0.0026548051764585523,0.002825238170880873,0.0055919991128452464,,,,
2011-02-07,0.005453575259212862,0.006232576823042457,0.004694691498724257,,,,
