Date,DIA,QQQ,SPY,Risk_free
2013-07-03,0.004086932819989286,0.004034382947120108,0.0004339896074485594,
2013-07-05,0.009848606907001844,0.007606878875205503,0.010730973062582194,2.715
2013-07-08,0.006600028764617072,0.0009636820560396941,0.005688794647111806,2.645
2013-07-09,0.005052219034689109,0.006038526318849158,0.007171472548901825,2.63
2013-07-10,-0.0005236374397297183,0.005729930612432987,0.00036306451603262957,2.68
2013-07-11,0.010876554535718341,0.019666555946624698,0.01352924196753591,2.574
2013-07-12,-0.0013613923171451603,0.00439228181266671,0.00041732648070436085,2.6010000000000004
2013-07-15,0.0030442292015004924,0.0022550270638337366,0.0038136807138737794,2.556
2013-07-16,-0.0022010797172393737,-0.0013259258431554954,-0.0037536907389181806,2.532
2013-07-17,0.0009063405749953901,0.0025176129711450557,0.002563827738054414,2.491
2013-07-18,0.005811099754907012,-0.0025176129711450557,0.0054625545545405885,2.5340000000000003
2013-07-19,-9.117552080617486e-05,-0.01040308577235649,0.0017751169187976146,2.491
2013-07-22,-6.388268330415059e-05,0.002945003160280457,0.0019488240225911113,2.488
2013-07-23,0.001610418174212036,-0.007378956795454528,-0.002126325804716167,2.516
2013-07-24,-0.0016754550732409612,0.0032268606241752096,-0.0036720449612577255,2.588
2013-07-25,0.00012891958233307577,0.006288795750010401,0.0024297662966557,2.6069999999999998
2013-07-26,0.00025847311718152355,0.005321383033344951,0.001065049623855785,2.5610000000000004
2013-07-29,-0.0014835232520367114,-0.0018590664732700546,-0.003079749677644905,2.585
2013-07-30,-0.0001289647256852433,0.005302698798320904,0.0,2.603
2013-07-31,-0.0004516732176016447,0.0018490311838617046,0.0007117263392917295,2.593
2013-08-01,0.006757943781305009,0.01011143866596953,0.011491892916736468,2.7230000000000003
2013-08-02,0.00198650019703539,0.005602114592663021,0.0016975308317572768,2.602
2013-08-05,-0.0026284149864874706,0.0006493597069452406,-0.001463447537505047,2.64
2013-08-06,-0.006051801533925705,-0.005990352250476505,-0.005698284297301903,2.642
2013-08-07,-0.0020037151552054766,-0.0018302565568504292,-0.0032460500813478177,2.6
2013-08-08,0.0009701009930207505,0.004960425940819135,0.0036581579464778358,2.5869999999999997
2013-08-09,-0.003756639394469019,-0.004044724641573794,-0.00288965830957455,2.58
2013-08-12,-0.0005193859829466518,0.0023503556060111563,-0.0011821181308890871,2.605
2013-08-13,0.0026584004197420796,0.005592754134793765,0.0029521130525322903,2.715
2013-08-14,-0.007278565341965582,-0.0037684601084855274,-0.005142697264343354,2.7119999999999997
2013-08-15,-0.014452988547630774,-0.017069716049846306,-0.014084398629747419,2.755
2013-08-16,-0.0015734556813722378,-0.0003973627055335882,-0.0033110959849596,2.8289999999999997
2013-08-19,-0.005062397190537915,-0.001724040490271861,-0.006412866888142688,2.884
2013-08-20,6.647958671379683e-05,0.004370180634667875,0.004903987961924372,2.8139999999999996
2013-08-21,-0.007439513812295573,-0.0034414675898322145,-0.006179339306661369,2.855
2013-08-22,0.005099235663593049,0.009764082332317514,0.009073689828959175,2.9010000000000002
2013-08-23,0.0028744551344175306,0.006674029842190343,0.0033667303920408287,2.818
2013-08-26,-0.004146547826496594,0.0005215006148704404,-0.003727789170363316,2.805
2013-08-27,-0.011526322448539794,-0.020678851663740616,-0.016214914861590657,2.721
2013-08-28,0.0036536934557176437,0.0038517401887769864,0.0035444649837126363,2.782
2013-08-29,0.0014181205906007577,0.007002027570447211,0.0015851345019335383,2.7510000000000003
2013-08-30,-0.0027013092690957308,-0.006471515439618436,-0.003172569054899377,2.7489999999999997
2013-09-03,0.0017562603657426124,0.005681215774944626,0.004511871603426698,2.8480000000000003
2013-09-04,0.0071978320673151686,0.010615383569190229,0.008238783463447419,2.897
2013-09-05,-0.0004015448919973963,0.0016931792225634013,0.001266310980249763,2.9789999999999996
2013-09-06,-0.00020148816230847189,0.0011706761922507525,0.0004819853259707685,2.938
2013-09-09,0.009213174390350964,0.01163092220066364,0.009530365849100164,2.897
2013-09-10,0.00873516519177997,0.00487078023435128,0.007369847121483808,2.9589999999999996
2013-09-11,0.008919220599888256,-0.0019200552069094101,0.003133563773552339,2.92
2013-09-12,-0.0007839328891563468,-0.0006402792292545811,-0.002659672256082324,2.907
2013-09-13,0.00430410995847641,0.0006402792292545811,0.0022463884732930595,2.898
2013-09-16,0.008099942571328178,-0.002693723619094257,0.005770816379011556,2.8739999999999997
2013-09-17,0.0022569258388180913,0.006657479374051256,0.004452902010103621,2.853
2013-09-18,0.008974711172784033,0.011922825441486928,0.011507375643352802,2.708
2013-09-19,-0.002364097281840394,0.0023929079359552574,-0.001677317133221834,2.748
2013-09-20,-0.011059542493262242,-0.003437820918477996,-0.007016054214560974,2.7319999999999998
2013-09-23,-0.003831537399688223,-0.0020273615599553096,-0.004638045866449225,2.714
2013-09-24,-0.004237308103055781,0.0,-0.002356709697060033,2.653
2013-09-25,-0.004190615882628812,-0.0034307272592855043,-0.0028945855443467394,2.614
2013-09-26,0.003471207679353938,0.00773464561418713,0.003837977590915642,2.6430000000000002
2013-09-27,-0.004850031597300131,-0.0012640567614043974,-0.00460736544530338,2.6189999999999998
2013-09-30,-0.00798103760611557,-0.002406075423193599,-0.005342510647587062,2.615
2013-10-01,0.004097718281566465,0.010091227459619212,0.007885251658314552,2.6460000000000004
2013-10-02,-0.004230616205786575,-0.0003767650668686784,-0.0009455444992898521,2.6260000000000003
2013-10-03,-0.00871444702146107,-0.011744545368822301,-0.009263718094996598,2.6060000000000003
2013-10-04,0.0050655392588385695,0.008601153994463928,0.007548513666597145,2.6519999999999997
2013-10-07,-0.00955153832676281,-0.008347397372386212,-0.008682631602844104,2.634
2013-10-08,-0.009913912522243606,-0.019492385814356084,-0.01171481449068068,2.636
2013-10-09,0.0016924631528416612,-0.0031132325712990294,0.0007250445246285153,2.65
2013-10-10,0.021289794885574587,0.020953299618206245,0.021328694582233965,2.685
2013-10-11,0.007983258843857755,0.00785624529776019,0.006422495799320416,2.682
2013-10-14,0.004132115414988036,0.007043019060508193,0.00398595254320977,2.6910000000000003
2013-10-15,-0.009601271540208067,-0.003892785637757079,-0.007280234799512009,2.72
2013-10-16,0.014302032364019723,0.011260243619231503,0.013869040732594762,2.6710000000000003
2013-10-17,-0.00026064800159186774,0.005705887587729386,0.006660952742950421,2.5869999999999997
2013-10-18,0.0018899004920669427,0.01607550869539498,0.006731673245908176,2.589
2013-10-21,-0.0004559833031851923,0.0021888864600780877,5.734381412469958e-05,2.609
2013-10-22,0.004678570174150742,0.00145626738396043,0.0057747941842718475,2.512
2013-10-23,-0.0027913751472121717,-0.006082702654930827,-0.004800341314445511,2.485
2013-10-24,0.006350938022015029,0.004383251315468684,0.0033170209413082574,2.522
2013-10-25,0.004189817660772199,0.0071422085011745295,0.00455706363183328,2.503
2013-10-28,-0.0005141995705342239,0.0002415437820229016,0.001589887307654969,2.512
2013-10-29,0.0072466196204157285,0.0016868696160434737,0.00531985482988695,2.5069999999999997
2013-10-30,-0.0040339435948979485,-0.0009636451714429839,-0.004979135551933744,2.5269999999999997
2013-10-31,-0.003727715026487388,-0.0022921710731385048,-0.0028408138648341463,2.542
2013-11-01,0.0036636983839839488,0.0002413737292847884,0.0023869885984009187,2.62
2013-11-04,0.0012827271722812839,0.001448129437706669,0.0035121517830329907,2.602
2013-11-05,-0.0010903474167891503,0.0010842651288962557,-0.0031720846671658975,2.662
2013-11-06,0.00849545369601934,-0.00024067296229546287,0.005092893702499879,2.64
2013-11-07,-0.00875253117078234,-0.01897393311277895,-0.012724026596628413,2.613
2013-11-08,0.010468313128709106,0.013416640634543064,0.013401151380221243,2.7460000000000004
2013-11-11,0.0007615587971550042,-0.0015762791356710437,0.00016931064556402475,2.7510000000000003
2013-11-12,-0.00152335173726037,0.0015762791356710437,-0.0020323040328644737,2.7680000000000002
2013-11-13,0.004374516098807568,0.012042464617220361,0.007992330210665699,2.725
2013-11-14,0.004229755846150596,0.003106947193031395,0.004977215927501888,2.702
2013-11-15,0.00546396869842436,0.0019077352517449242,0.00434148544593338,2.7089999999999996
2013-11-18,0.0008784203794762746,-0.009814519146702061,-0.003505354646419434,2.678
2013-11-19,-0.000689770727001715,-0.0028910279241358694,-0.0021761586112694076,2.7119999999999997
2013-11-20,-0.003520854756727587,-0.002415172794007603,-0.0031328398912950917,2.792
2013-11-21,0.006841592114890105,0.010106037420069214,0.00803635107399625,2.784
2013-11-22,0.0033718384061636186,0.005372020967899793,0.004989912941501196,2.752
2013-11-25,0.0013089691630279177,0.00237869424090853,-0.0009960694888295762,2.741
2013-11-26,-0.0006854072925648325,0.005212344905222821,0.0002767900536913004,2.696
2013-11-27,0.00217799227355453,0.006947484066127885,0.0024321228872850043,2.736
2013-11-29,-0.0008078703608447313,0.0059666889877538765,-0.0006627009654325278,
2013-12-02,-0.004990585718248397,-0.0029205099222755493,-0.0026000094216609426,2.801
2013-12-03,-0.005831823081339671,-0.0008190070575535557,-0.0043300198484139685,2.775
2013-12-04,-0.0014479960743880582,0.0009358532300884903,-0.00011118215640326667,2.841
2013-12-05,-0.004039278051005013,-0.0012874500766795194,-0.004405023701996136,2.862
2013-12-06,0.012818782847312526,0.00723555102833906,0.011114861374323048,2.883
2013-12-09,0.0004374971833147612,0.0040611091838202995,0.0025390977469843534,2.8569999999999998
2013-12-10,-0.0031881219243663494,-0.0006947910765555676,-0.003589588463893456,2.7969999999999997
2013-12-11,-0.008867030466550574,-0.012946994997780514,-0.01129465395743079,2.844
2013-12-12,-0.005320258636336561,-0.0025861373760118767,-0.003306896704427409,2.877
2013-12-13,0.0011419058551052075,-0.001295675609402025,-0.0001119953176242916,2.8680000000000003
2013-12-16,0.007898019240281329,0.005524151380909004,0.0062123266276366,2.877
2013-12-17,-0.0007559447036236122,-0.0019947843506216145,-0.003185108450537655,2.843
2013-12-18,0.018594267190042757,0.011559814391805645,0.016928250398889233,2.885
2013-12-19,0.0007421378880332341,-0.0027901135459940107,-0.001156480696803186,2.925
2013-12-20,0.003245903773978931,0.01013192107055172,0.005799992270651089,2.887
2013-12-23,0.0037574187048514673,0.01046528299390026,0.0053283418814213945,2.929
2013-12-24,0.0033154839020044236,0.00045751576037567077,0.0021891350839648993,
2013-12-26,0.007935884258793102,0.003310981003907365,0.005071040482988565,2.99
2013-12-27,6.126384377580507e-05,-0.0025107160141324414,-5.437654391471369e-05,3.0060000000000002
2013-12-30,0.0007287784582112877,-0.0014867513654905906,-0.00016307349634292478,2.9760000000000004
2013-12-31,0.005332336084881817,0.0065016166680349485,0.004721695246816537,3.0260000000000002
2014-01-02,-0.008252667964673499,-0.007875540537028769,-0.009629852071343592,2.985
2014-01-03,0.0017046591646572296,-0.007245236949053435,-0.00016418110118721074,2.995
2014-01-06,-0.003045874504572943,-0.0037003130181032517,-0.0029022122852842003,2.9610000000000003
2014-01-07,0.006567708232358527,0.0092252354321527,0.0061230364967270745,2.937
2014-01-08,-0.0037650993553528522,0.00217866176581083,0.00021832780973252142,2.9930000000000003
2014-01-09,-0.0009745265666500913,-0.0033269353312475047,0.0006533664568513231,2.963
2014-01-10,-6.0081622219598785e-05,0.0032123132541244104,0.002718945367766956,2.86
2014-01-13,-0.011886742762026614,-0.014886703931662026,-0.013394357190226636,2.827
2014-01-14,0.007430048124128064,0.01888790626334913,0.010838830013763179,2.8689999999999998
2014-01-15,0.006828549578772325,0.008181092126493539,0.00537548898145257,2.884
2014-01-16,-0.003591205264336317,0.00011276374070590123,-0.001300597905011358,2.843
2014-01-17,0.0014216798671196074,-0.005673174537155212,-0.004238309267744711,2.827
2014-01-21,-0.0021360788527875485,0.007595199345710846,0.002936300252113888,2.825
2014-01-22,-0.0015891186933316703,0.0025935270896884077,0.0006513146593638552,2.86
2014-01-23,-0.010824683743074992,-0.003384467701624594,-0.008226775052362356,2.773
2014-01-24,-0.020176745921459016,-0.019861231759607634,-0.02156683012873284,2.735
2014-01-27,-0.0029065429557268985,-0.009731193114073555,-0.004931710422983571,2.766
2014-01-28,0.005805105094775165,-0.0005822191267679244,0.005937147824830014,2.7460000000000004
2014-01-29,-0.011643988823514917,-0.010774571407990763,-0.009651570032597867,2.675
2014-01-30,0.006787971540364701,0.018316959349683692,0.010544911547861524,2.693
2014-01-31,-0.009018725547655926,-0.002662547189514086,-0.005876006356904995,2.668
2014-02-03,-0.020755749252655775,-0.023218528008509765,-0.022762208603780643,2.5810000000000004
2014-02-04,0.0035755381506170636,0.007328734671321335,0.006979868042335191,2.6239999999999997
2014-02-05,0.0006490795220353007,-0.002594505589808449,-0.0012548279622475178,2.667
2014-02-06,0.012632625202567915,0.012671965714060818,0.013100888269805822,2.702
2014-02-07,0.010448287524399191,0.01768099406570034,0.012319757600403491,2.675
2014-02-10,-0.0001898841028697973,0.005711135354705021,0.0018347073453366392,2.678
2014-02-11,0.012661316964476477,0.011325149056176542,0.010884588237014547,2.719
2014-02-12,-0.00031358866000985586,0.0019124749070194014,0.0004944519584837437,2.763
2014-02-13,0.0036253100442085184,0.0073908664749691155,0.005149282655708021,2.736
2014-02-14,0.008077310351251477,0.002006307986160749,0.0055039714624491864,2.7460000000000004
2014-02-18,-0.001114134661219346,0.004887129652306754,0.001194700171986085,2.7110000000000003
2014-02-19,-0.005529595002715659,-0.006893437638467503,-0.006643662129143024,2.734
2014-02-20,0.004909384214612622,0.004675068034126539,0.005883434453639147,2.7539999999999996
2014-02-21,-0.00040401117382149465,-0.001333584593847803,-0.0011412416359064537,2.734
2014-02-24,0.005272247419930487,0.005323429517966716,0.005531587173294383,2.75
2014-02-25,-0.0009897685339899098,-0.00110692529273404,-0.0003787622000626101,2.701
2014-02-26,0.0021021115120642975,-0.000886054582451834,5.418326522832473e-05,2.673
2014-02-27,0.004377743322703687,0.0064669300414852415,0.005233662033522712,2.642
2014-02-28,0.002887288930327969,-0.0011064478990547855,0.0025259963049490963,2.658
2014-03-03,-0.00943018460835976,-0.007443979898520858,-0.007057121347084916,2.6069999999999998
2014-03-04,0.013164709116018969,0.01263313767726082,0.013958279211012226,2.6910000000000003
2014-03-05,-0.0017124906117853556,0.0027493443178512322,0.0009056278723482691,2.698
2014-03-06,0.004519451992472057,-0.0008788658028189289,0.0022877463295092326,2.737
2014-03-07,0.001522569102098359,-0.0049584614167352825,0.0004249600749215432,2.79
2014-03-10,-0.002131752589069613,0.0008834083062234654,-0.0005313215423550233,2.784
