Date,DIA_PSN_Pred,SPY_PSN_Pred,QQQ_PSN_Pred,Risk_free
2014-01-02,0.0055992156267251495,0.007011827032271958,-0.001624710161368427,2.985
2014-01-03,0.007442476712611198,0.013391133301054986,-0.0011209696049120713,2.995
2014-01-06,0.009405468694630322,0.017525491104697713,-0.0014663222029982386,2.9610000000000003
2014-01-07,0.013930948364947092,0.021144590995225917,0.0003063317970785351,2.937
2014-01-08,0.005757118466109112,0.013730665108486084,-0.00022162692377945825,2.9930000000000003
2014-01-09,0.016812598648146236,0.021487500906745456,0.00028597950720350707,2.963
2014-01-10,0.01789668023920774,0.011061341262455941,0.004878942925195383,2.86
2014-01-13,0.015277492347318438,0.021845380235383,0.0031211229356915005,2.827
2014-01-14,0.020351155623616567,0.015583984144275032,0.002142170608333986,2.8689999999999998
2014-01-15,0.011584400097023205,0.023041614428455585,0.003364676451995625,2.884
2014-01-16,0.014063478668510966,0.016990057387564508,0.0004240972827682585,2.843
2014-01-17,0.014778760029281038,0.006099044180922327,0.0017937868909287254,2.827
2014-01-21,0.022271447419448073,0.02297664007005163,0.0017374751257004525,2.825
2014-01-22,0.01583509980985243,0.011794794884610651,0.0003335502906481672,2.86
2014-01-23,0.010107546007801229,0.02086736987877849,-0.0017856879135586534,2.773
2014-01-24,0.023405563299748744,0.014875195463628725,-0.00015899975644842468,2.735
2014-01-27,0.02377910740359293,0.024414449490218683,0.0003560955235068705,2.766
2014-01-28,0.018989639955015847,0.024363040990281484,-0.0010988656975524196,2.7460000000000004
2014-01-29,0.012864399406443676,0.02441273652986076,-0.00019580082926498601,2.675
2014-01-30,0.02361121634110573,0.02420864110041706,0.0003410938776668981,2.693
2014-01-31,0.023856143437751123,0.024260918737875756,0.00535880058778427,2.668
2014-02-03,0.02377264380932463,0.023730367942222608,0.006439740158958311,2.5810000000000004
2014-02-04,0.02384980230037588,0.023764292432989283,0.009806307910866641,2.6239999999999997
2014-02-05,0.02385760493414869,0.024427784703776826,0.012090612115103769,2.667
2014-02-06,0.012892806743526476,0.023057658313318626,0.0021500049912241827,2.702
2014-02-07,0.014636584914335752,0.01721137524109944,0.00298231067116312,2.675
2014-02-10,0.023800646506239077,0.018849986368905374,0.010570676832974288,2.678
2014-02-11,0.015095894099127987,0.0045781800917097425,0.0038985195128410158,2.719
2014-02-12,0.010847545026224169,0.010266977695226005,0.0002705810105271753,2.763
2014-02-13,0.006014171457273496,0.0041808379817558534,0.0015505549606471686,2.736
2014-02-14,0.004685506181288438,0.005762482629875415,-0.0018821260879219415,2.7460000000000004
2014-02-18,0.0061488341080403785,0.003718127729407685,-0.0022392302603434157,2.7110000000000003
2014-02-19,0.0030261141203271266,0.002669374078940929,-0.0015661780841332814,2.734
2014-02-20,0.005839566562519136,0.011534022687987748,-0.0025236320437693853,2.7539999999999996
2014-02-21,0.006277701353238033,0.005910705736577288,-0.002025115549615795,2.734
2014-02-24,0.0041136378149260674,0.015563276731869406,-0.0023175125089432533,2.75
2014-02-25,0.007117268474141611,0.005230086674953307,-0.001840337010627694,2.701
2014-02-26,0.015079128153204696,0.01761053719563719,-0.0010947945553518336,2.673
2014-02-27,0.0097510260741983,0.007462974099018455,-0.0005711635612869019,2.642
2014-02-28,0.008914496416663802,0.017312813997007674,-0.00022083664323463775,2.658
2014-03-03,0.011085263138817442,0.008456927081745629,-5.325611419808307e-05,2.6069999999999998
2014-03-04,0.01889885946566522,0.017749241980744304,0.0006618827774335645,2.6910000000000003
2014-03-05,0.009989159475385413,0.010106775116989826,0.000409619069496929,2.698
2014-03-06,0.00697685034940106,0.011207626389376849,0.00016170703624864694,2.737
2014-03-07,0.009387313129181469,0.004773547580282121,-9.314304438012844e-05,2.79
2014-03-10,0.017333474366975944,0.01921863850242115,0.001900396078537675,2.784
2014-03-11,0.006373076638184661,0.005610622646748596,-0.00026830479284230957,2.766
2014-03-12,0.009515932798486641,0.019892161013990883,-0.000719599458597002,2.7260000000000004
2014-03-13,0.017744322567394152,0.014078592953139506,0.0015711569928588687,2.653
2014-03-14,0.01722683837208084,0.02366344997855211,0.0002083233250093075,2.645
2014-03-17,0.019362372116416948,0.019301614414668627,0.0013894129943177597,2.699
2014-03-18,0.008198626730385784,0.02404041939249215,0.002609476152659045,2.681
2014-03-19,0.011101664376167934,0.012836046950061679,0.0015023307417736734,2.772
2014-03-20,0.0234971157999469,0.01822144524000214,0.0036229818718030438,2.775
2014-03-21,0.02213634019691726,0.01632722329858937,0.006700720900783261,2.75
2014-03-24,0.006316852951633378,0.01934236543218189,0.002964086322841675,2.733
2014-03-25,0.014848962436385388,0.014299002290753891,0.0015276026135684006,2.735
2014-03-26,0.020304462277872748,0.023720984632281672,0.0034389217696738712,2.701
2014-03-27,0.006280970419861375,0.01308255010252081,0.0003857635446526536,2.6719999999999997
2014-03-28,0.009959088321820865,0.02062310848232144,0.0020946579840636147,2.7119999999999997
2014-03-31,0.014719938126911853,0.02221815866256885,0.005792031698228797,2.7230000000000003
2014-04-01,0.006136471286054386,0.014277898281615154,0.003717405001833443,2.759
2014-04-02,0.01446795911049021,0.011353759628187195,0.0054050610792433645,2.803
2014-04-03,0.016852788468026198,0.008088044303321234,0.011270619074475685,2.79
2014-04-04,0.011290868262259751,0.012376416651066424,0.004605581121501591,2.7260000000000004
2014-04-07,0.013926840734816944,0.013957209038121206,0.003299989765669004,2.695
2014-04-08,0.01741857125922492,0.02376606446094575,0.0019868924552245773,2.681
2014-04-09,0.014008719140463623,0.02379957266577979,-0.0008801187796486713,2.6839999999999997
