ETF,Statistic,ARMA
SPY,MAE,0.0064990899749323506
SPY,MAPE,1.3957564097269142
SPY,RMSE,0.008523806717960745
SPY,THEIL-U,0.784645855232576
DIA,MAE,0.0063703096838254696
DIA,MAPE,1.493216718783878
DIA,RMSE,0.00846189096912696
DIA,THEIL-U,0.7647625208425612
QQQ,MAE,0.006588999352780773
QQQ,MAPE,1.6277642012728595
QQQ,RMSE,0.008522144489414787
QQQ,THEIL-U,0.7585854177086478
