Test,ETF,ARMA,MLP,RNN,PSN
PT,SPY,61.57017893666053,35.36275632569779,24.66664627891826,4.22113078490199
PT,DIA,57.674396820191355,27.012179960848854,22.17259616074798,4.381583177243982
PT,QQQ,51.548796366481824,29.84284748807057,15.814185300275312,38.72233301108924
DM,SPY,7.493856715217071,5.465992243998186,4.862606098846676,
DM,DIA,5.706503688503354,-0.5108788747195139,-0.074788363838038,
DM,QQQ,3.6603187900481164,-1.4932608270062386,-4.060749829320424,
