ETF,Statistic,ARMA,MLP,RNN,PSN
SPY,MAE,0.0064990899749323506,0.006131422826817221,0.006374651046921416,0.008385927541328423
SPY,MAPE,139.57564097269142,248.30265664482968,228.5187881214841,514.5750349138757
SPY,RMSE,0.008523806717960745,0.008047052096137305,0.008179798586200826,0.009820658230910223
SPY,THEIL-U,0.784645855232576,0.7060470896282444,0.71933048105216,0.7099694928148864
DIA,MAE,0.00637030968382547,0.006297094518361686,0.006522946397668842,0.006792336745572968
DIA,MAPE,149.3216718783878,237.57214449724827,248.92720037230828,297275368225336.25
DIA,RMSE,0.008461890969126959,0.008456962394016826,0.008312146725795458,0.008286969393700189
DIA,THEIL-U,0.7647625208425612,0.728350625360144,0.7075570873956175,0.7240519363067995
QQQ,MAE,0.006588999352780772,0.007433580767431063,0.008303888127434265,0.007470355108505949
QQQ,MAPE,162.77642012728597,231.40445093495862,251.81784204119052,189770806245170.62
QQQ,RMSE,0.008522144489414787,0.009818998571046934,0.010609968065078858,0.009285087163794321
QQQ,THEIL-U,0.7585854177086478,0.7135804657534782,0.7263891904273699,0.758173193994779
