ETF,Measure,MLP,RNN,PSN
SPY,Annualized average returns (%),-11.610182252842277,8.074968838930419,11.610182252842277
SPY,Cumulative return (%),-14.789160726834805,10.285972211494698,14.789160726834805
SPY,Annualized vol (%),11.711607354402313,11.723428056926767,11.711607354402313
SPY,Information ratio,-0.9913397795459808,0.6887890470022834,0.9913397795459808
SPY,Maximum Drawdown (%),-2.0731728686345288,-3.1000614065242393,-3.187535089393355
SPY,Sharpe ratio,-1.1969297187124481,0.4834064036456344,0.7857498403795136
DIA,Annualized average returns (%),-8.543654193236831,-8.543654193236831,8.543654193236831
DIA,Cumulative return (%),-10.88298807948025,-10.88298807948025,10.88298807948025
DIA,Annualized vol (%),11.537210996975347,11.537210996975347,11.537210996975347
DIA,Information ratio,-0.7405302889473616,-0.7405302889473616,0.7405302889473616
DIA,Maximum Drawdown (%),-2.1518246850164497,-2.1518246850164497,-3.7934878625152266
DIA,Sharpe ratio,-0.9492279234245641,-0.9492279234245641,0.531832654470159
QQQ,Annualized average returns (%),17.10815927685394,-17.10815927685394,-16.19081982170378
QQQ,Cumulative return (%),21.792536221706804,-21.792536221706804,-20.62402048717029
QQQ,Annualized vol (%),13.952337225513544,13.952337225513544,13.956694056800856
QQQ,Information ratio,1.2261859070872794,-1.2261859070872794,-1.1600755706050798
QQQ,Maximum Drawdown (%),-2.665733819726407,-2.2687769132814606,-2.2687769132814606
QQQ,Sharpe ratio,1.0536134839429916,-1.3987583302315671,-1.3325941221856992
